university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
Mangistau University of Humanities and Technology,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Aktobe State Regional University named after K.Zhubanov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Aktobe University S. Baisheva,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh-Russian International University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Almaty Academy of Economics and Statistics,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Almaty Technological University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Almaty Management University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Eurasian Technical University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Automobile and Road Academy named after L. Goncharov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Academy of Transport and Communications named after M. Tynyshpayev,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Academy of Labor and Social Relations,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh State Women's Pedagogical University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh National Agrarian University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh National Pedagogical University named after Abay,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Al-Farabi Kazakh National University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh University of Railways,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakhstan Engineering and Technology University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
"Kazakhstan Institute of Management, Economics and FRudnycasting",Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Caspian Public University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
International Education Corporation,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of Narxoz,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of Turan,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University named after Suleiman Demirel,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of FRudnyign Languages ​​and Business Careers,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of International Business,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Central Asian University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Eurasian National University named after L. N. Gumilyov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Agrotechnical University named after S. Seifullin,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Humanitarian Law University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh University of Technology and Business,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
"Kazakh University of Economics, Finance and International Trade",Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Astana University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
"University ""Turan — Astana""",Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Financial Academy,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Atyrau State University named after H. Dosmukhamedov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Atyrau University of Oil and Gas,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Syrdaria University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Karaganda State Technical University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Karaganda State University named after E. A. Buketov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Karaganda Economic University of Kazpotrebsoyuz,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Temirtau,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Central Kazakhstan Academy,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
