id,university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Ағаш өңдеу және ағаштан бұйымдар жасау технологиясы,математика,физика,100,75,25,0,0,0
,Еуразиялық техникалық университеті,Ағаш өңдеу және ағаштан бұйымдар жасау технологиясы,математика,физика,100,75,25,0,0,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Ағаш өңдеу және ағаштан бұйымдар жасау технологиясы,математика,физика,100,75,25,0,0,40
,Халықаралық білім беру корпорациясы,Ағаш өңдеу және ағаштан бұйымдар жасау технологиясы,математика,физика,100,75,25,0,0,40
,Алматы технологиялық университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Қазақ ұлттық аграрлық университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Технология және бизнес университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Қазақстан инженерлік-технологиялық университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,М.Дулатов атындағы Тараз мемлекеттік университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,объектілерді өңдеу технологиясы,биология,химия,300,210,70,0,15,40
,Алматы технологиялық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Атырау мұнай және газ университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
