id,university,prof_title,first_lesson,second_lesson,total grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
,Военный институт Сил воздушной обороны Министерства обороны РК,Морская техника и технологии,Математика,Физика,95,56,19,,15,5
,Актюбинский государственный региональный университет им.К.Жубанова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Казахский национальный педагогический университет имени Абая,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Аркалыкский государственный педагогический институт имени И. Алтынсарина,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Атырауский государственный университет имени Х. Досмухамедова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Жезказганский университет имени О. А. Байконурова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Жетысуский государственный университет имени И. Жансугурова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Западно-Казахстанский государственный университет имени М. Утемисова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Казахский государственный женский педагогический университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Карагандинский государственный университет имени Е. А. Букетова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Кызылординский государственный университет имени Коркыт Ата,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Кокшетауский государственный университет имени Ш. Уалиханова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Международный казахско-турецкий университет имени Х. А. Яссави,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Северо-Казахстанский государственный университет имени М. Козыбаева,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Государственный университет имени Шакарима г.Семей,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Евразийский гуманитарный институт,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Центрально-Азиатский университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Карагандинский университет «Болашак»,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Кокшетауский университет имени А. Мырзахметова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Южно-Казахстанский педагогический университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
