location,university_name,university_code,university_category,university_type,university_email,university_site,military_dep
Astana,Kazakh Agrotechnical University named after S. Seifullin,2,Stocked,University,agun.katu@gmail.com,kazatu.kz,Yes
Aktau,Caspian State University of Technology and Engineering named after S. Yesenov,3,State,University,ksu@kguti.kz,kguti.kz,Yes
Aktobe,West Kazakhstan State Medical University named after M. Ospanov,4,State,University,info@zkgmu.kz,new.zkgmu.kz,Yes
Aktobe,Aktobe State Regional University named after K.Zhubanov,5,State,University,info@arsu.kz,arsu.kz,No
Almaty,Kazakh National Conservatory named after Kurmangazy,6,National,Conservatory,info@conservatoire.kz,conservatoire.kz,No
Almaty,Kazakh National Pedagogical University named after Abay,7,National,University,rector@kaznpu.kz,kaznpu.kz,Yes
Arkalyk,Arkalyk State Pedagogical Institute named after I. Altynsarin,8,State,Institute,arkgpi@mail.ru,api.kz,No
Atyrau,Atyrau University of Oil and Gas,9,State,Institute,edu@aogu.kz,ainig.kz,No
Atyrau,Atyrau State University named after H. Dosmukhamedov,10,State,University,kense@asu.edu.kz,asu.edu.kz,Yes
Ust-Kamenogorsk,East Kazakhstan State University named after S. Amanzholov,11,State,University,kense@vkgu.kz,vkgu.kz,No
Ust-Kamenogorsk,East Kazakhstan State Technical University named after D. Serikbayev,12,State,University,kanc_ekstu@mail.ru,ektu.kz,Yes
Astana,Eurasian National University named after L. N. Gumilyov,13,National,University,enu@enu.kz,enu.kz,Yes
Zhezkazgan,Zhezkazgan University named after O. A. Baikonurov,14,Stocked,University,univer_Zhez@mail.ru,zhezu.kz/,No
Taldykorgan,Zhetysu State University named after I. Zhansugurov,15,State,University,vuz@zhgu.edu.kz,zhgu.edu.kz,Yes
Uralsk,West Kazakhstan State University named after M. Utemisov,16,State,University,info@wksu.kz,-,No
Almaty,Kazakh National Academy of Arts named after T.K. Zhurgenov,17,National,Academy,kaznai@art-1r.kz,kaznai.kz,No
Astana,Kazakh National University of Arts,18,National,University,kaznam98@mail.ru,kaznui.kz/ru/,No
Almaty,Kazakh Academy of Transport and Communications named after M. Tynyshpayev,19,Stocked,Academy,info@kazatk.kz,kazatk.kz,No
Almaty,Kazakh Academy of Sports and Tourism,20,Stocked,Academy,kazsport@inbox.ru,kazast.kz,No
Almaty,University of Narxoz,21,Private,University,narxoz@narxoz.kz,narxoz.kz,Yes
Almaty,International Education Corporation,22,Stocked,Academy,info@mok.kz,mok.kz,No
Almaty,Kazakh University of International Relations and World Languages ​​named after Abylay Khan,23,Stocked,University,kazumo@ablaikhan.kz,ablaikhan.kz,Yes
Almaty,Kazakh National Agrarian University,24,National,University,info@kaznau.kz,kaznau.kz,Yes
Almaty,Kazakh State Women's Pedagogical University,25,State,University,info@kazmkpu.kz,kazmkpu.kz,No
Almaty,Al-Farabi Kazakh National University,27,National,University,info@kaznu.kz,kaznu.kz,Yes
Almaty,Kazakh National Research Technical University named after K.I.Satpayev,29,National,University,allnt@ntu.kz,kaznitu.kz,Yes
Karaganda,Karaganda State University named after E. A. Buketov,31,State,University,office@ksu.kz,ksu.kz,Yes
Karaganda,Karaganda State Technical University,32,State,University,kargtu@kstu.kz,kstu.kz,Yes
Karaganda,Temirtau,33,State,University,kgiu@mail.ru,kgiu.kz,No
Karaganda,Karaganda State Industrial University,33,State,University,kgiu@mail.ru,kgiu.kz,No
Kyzylorda,Kyzylorda State University named after Korkyt Ata,34,State,University,korkyt_ksu@mail.ru,korkyt.kz,Yes
Kokshetau,Kokshetau State University named after Sh. Ualikhanov,35,State,University,mail@kgu.kz,kgu.kz,No
Kostanay,Kostanay State University named after A. Baitursynov,36,State,University,info@ksu.edu.kz,ksu.edu.kz,Yes
Turkestan,International Kazakh-Turkish University named after H.A. Yassavi,37,State,University,rector@ayu.edu.kz,ayu.edu.kz,No
Pavlodar,Pavlodar State University named after S. Toraigyrov,38,State,University,pgu@psu.kz,psu.kz,Yes
Rudny,Rudny Industrial Institute,39,State,Institute,info@rii.kz,rii.kz,No
Petropavlovsk,North Kazakhstan State University named after M. Kozybaev,40,State,University,mail@nkzu.kz,nkzu.kz,Yes
Families,Shakarim Semey State University,42,State,University,semgu@bk.ru,semgu.kz,No
Taraz,Taraz State University named after M. Dulati,43,State,University,info@tarsu.kz,tarsu.kz,Yes
Shymkent,South Kazakhstan State University named after M.O. Auezov,45,State,University,canselyarya@mail.ru,ukgu.kz,No
Astana,Eurasian Humanities Institute,47,Private,Institute,eagi@list.ru,egi.kz,No
Almaty,Kazakh Academy of Labor and Social Relations,48,Private,Academy,kaz_atso@mail.ru,atso.kz,No
Almaty,Kazakhstan Engineering and Technology University,49,Private,University,info@kazetu.kz,kazetu.kz,No
Almaty,Almaty Technological University,53,Private,University,atukz@mail.ru,atu.kz,No
Almaty,Almaty University of Energy and Communications,57,Stocked,University,aues@aues.kz,aues.kz,Yes
Almaty,University of International Business,69,Private,University,uib@uib.kz,uib.kz,No
Almaty,Kazakh Automobile and Road Academy named after L. Goncharov,78,Private,Institute,kazadi@kazadi.kz,kazadi.kz,No
Almaty,Caspian Public University,79,Private,University,cu@cu.edu.kz,cu.edu.kz/,No
Almaty,Kazakh-Russian Medical University,80,Private,University,nuo_kmu@mail.ru,medkrmu.kz/,No
Almaty,Kazakh-German University,82,Private,University,info@dku.kz,dku.kz,No
Taldykorgan,Academy of Economics and Law named after O. A. Dzholdasbekov,90,Private,Academy,dzholdasbekov@rambler.ru,vuz.ucoz.kz,No
Almaty,University of Turan,93,Private,University,info@turan-edu.kz,turan-edu.kz/,No
Almaty,Central Asian University,96,Private,University,info@cau.kz,cau.kz,No
Aktobe,Kazakh-Russian International University,103,Private,University,strkrmu2015@mail.ru,krmu.kz,No
Karaganda,"Academy ""Bolashak""",116,Private,Academy,ku_bolashak@mail.ru,kubolashak.kz,No
Karaganda,"Karaganda University ""Bolashak""",116,-,-,-,-,No
