location,university_name,university_code,university_category,university_type,university_email,university_site,military_dep
Өскемен,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,12,мемлекет,университет,kanc_ekstu@mail.ru,ektu.kz,бар
Алматы,Еуразиялық техникалық университеті,160,жеке,университет,info@etu.edu.kz,etu.edu.kz,жоқ
Алматы,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,29,ұлттық,университет,allnt@ntu.kz,kaznitu.kz,бар
Алматы,Халықаралық білім беру корпорациясы,22,бірлескен-stockicize,академия,info@mok.kz,mok.kz,жоқ
Алматы,Алматы технологиялық университеті,53,жеке,университет,atukz@mail.ru,atu.kz,жоқ
Өскемен,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,11,мемлекет,университет,@ Kense vkgu.kz,vkgu.kz,жоқ
отбасы,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,42,мемлекет,университет,semgu@bk.ru,semgu.kz,жоқ
Орал,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,501,мемлекет,университет,-,-,жоқ
Астана,С.Сейфуллин атындағы Қазақ агротехникалық университеті,2,бірлескен-stockicize,университет,agun.katu@gmail.com,kazatu.kz,бар
Алматы,Қазақ ұлттық аграрлық университеті,24,ұлттық,университет,info@kaznau.kz,kaznau.kz,бар
Астана,Технология және бизнес университеті,182,жеке,университет,akutb@mail.ru,kazutb.kz,жоқ
Алматы,Қазақстан инженерлік-технологиялық университеті,49,жеке,университет,info@kazetu.kz,kazetu.kz,жоқ
Көкшетау,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,35,мемлекет,университет,mail@kgu.kz,kgu.kz,жоқ
Қостанай,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,36,мемлекет,университет,info@ksu.edu.kz,ksu.edu.kz,бар
Қостанай,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,140,жеке,университет,adm@kineu.kz,kineu.kz,жоқ
Тараз,М.Дулатов атындағы Тараз мемлекеттік университеті,43,мемлекет,университет,info@tarsu.kz,tarsu.kz,бар
Шымкент,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,45,мемлекет,университет,canselyarya@mail.ru,ukgu.kz,жоқ
Атырау,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,10,мемлекет,университет,kense@asu.edu.kz,asu.edu.kz,бар
Атырау,Атырау мұнай және газ университеті,9,мемлекет,институты,edu@aogu.kz,ainig.kz,жоқ
Талдықорған,І.Жансүгіров атындағы Жетісу мемлекеттік университеті,15,мемлекет,университет,vuz@zhgu.edu.kz,zhgu.edu.kz,бар
Орал,Батыс Қазақстан инновациялық және технология университеті,198,мемлекет,университет,-,wkitu@mail.ru,жоқ
Павлодар,Инновациялық Еуразия университеті,146,жеке,университет,referent@ineu.edu.kz,ineu.edu.kz,жоқ
Алматы,Көлік және М.Тынышпаев атындағы коммуникациялар академиясы,19,бірлескен-stockicize,академия,info@kazatk.kz,kazatk.kz,жоқ
Алматы,Қазақ Көлік университеті,162,жеке,университет,kups1@mail.ru,kuwc.kz,жоқ
Ақтөбе,Қазақ-Орыс Халықаралық университеті,103,жеке,университет,strkrmu2015@mail.ru,krmu.kz,жоқ
Орал,Инновациялық Қазақстан университеті және телекоммуникациялық жүйелер,199,жеке,университет,-,univers.kz,жоқ
