location,university_name,university_code,university_category,university_type,university_email,university_site,military_dep
Астана,Казахский агротехнический университет имени С. Сейфуллина,2,Акционированный,Университет,agun.katu@gmail.com,kazatu.kz,Есть
Актау,Каспийский государственный университет технологии и инжиниринга имени Ш. Есенова,3,Государственный,Университет,ksu@kguti.kz,kguti.kz,Есть
Актобе,Западно-Казахстанский государственный медицинский университет имени М. Оспанова,4,Государственный,Университет,info@zkgmu.kz,new.zkgmu.kz,Есть
Актобе,Актюбинский государственный региональный университет им.К.Жубанова,5,Государственный,Университет,info@arsu.kz,arsu.kz,Нет
Алматы,Казахская национальная консерватория имени Курмангазы,6,Национальный,Консерватория,info@conservatoire.kz,conservatoire.kz,Нет
Алматы,Казахский национальный педагогический университет имени Абая,7,Национальный,Университет,rector@kaznpu.kz,kaznpu.kz,Есть
Аркалык,Аркалыкский государственный педагогический институт имени И. Алтынсарина,8,Государственный,Институт,arkgpi@mail.ru,api.kz,Нет
Атырау,Атырауский университет нефти и газа,9,Государственный,Институт,edu@aogu.kz,ainig.kz,Нет
Атырау,Атырауский государственный университет имени Х. Досмухамедова,10,Государственный,Университет,kense@asu.edu.kz,asu.edu.kz,Есть
Усть-Каменогорск,Восточно-Казахстанский государственный университет имени С. Аманжолова,11,Государственный,Университет,kense@vkgu.kz,vkgu.kz,Нет
Усть-Каменогорск,Восточно-Казахстанский государственный технический университет имени Д. Серикбаева,12,Государственный,Университет,kanc_ekstu@mail.ru,ektu.kz,Есть
Астана,Евразийский национальный университет имени Л. Н. Гумилёва,13,Национальный,Университет,enu@enu.kz,enu.kz,Есть
Жезказган,Жезказганский университет имени О. А. Байконурова,14,Акционированный,Университет,univer_Zhez@mail.ru,zhezu.kz/,Нет
Талдыкорган,Жетысуский государственный университет имени И. Жансугурова,15,Государственный,Университет,vuz@zhgu.edu.kz,zhgu.edu.kz,Есть
Уральск,Западно-Казахстанский государственный университет имени М. Утемисова,16,Государственный,Университет,info@wksu.kz,-,Нет
Алматы,Казахская национальная академия искусств имени Т. К. Жургенова,17,Национальный,Академия,kaznai@art-oner.kz,kaznai.kz,Нет
Астана,Казахский национальный университет искусств,18,Национальный,Университет,kaznam98@mail.ru,kaznui.kz/ru/,Нет
Алматы,Казахская академия транспорта и коммуникаций имени М. Тынышпаева,19,Акционированный,Академия,info@kazatk.kz,kazatk.kz,Нет
Алматы,Казахская академия спорта и туризма,20,Акционированный,Академия,kazsport@inbox.ru,kazast.kz,Нет
Алматы,Университет «Нархоз»,21,Частный,Университет,narxoz@narxoz.kz,narxoz.kz,Есть
Алматы,Международная образовательная корпорация,22,Акционированный,Академия,info@mok.kz,mok.kz,Нет
Алматы,Казахский университет международных отношений и мировых языков имени Абылай хана,23,Акционированный,Университет,kazumo@ablaikhan.kz,ablaikhan.kz,Есть
Алматы,Казахский национальный аграрный университет,24,Национальный,Университет,info@kaznau.kz,kaznau.kz,Есть
Алматы,Казахский государственный женский педагогический университет,25,Государственный,Университет,info@kazmkpu.kz,kazmkpu.kz,Нет
Алматы,Казахский национальный университет имени аль-Фараби,27,Национальный,Университет,info@kaznu.kz,kaznu.kz,Есть
Алматы,Казахский национальный исследовательский технический университет имени К.И.Сатпаева,29,Национальный,Университет,allnt@ntu.kz,kaznitu.kz,Есть
Караганда,Карагандинский государственный университет имени Е. А. Букетова,31,Государственный,Университет,office@ksu.kz,ksu.kz,Есть
Караганда,Карагандинский государственный технический университет,32,Государственный,Университет,kargtu@kstu.kz,kstu.kz,Есть
Караганда,Карагандинский государственный индустриальный университет,33,Государственный,Университет,kgiu@mail.ru,kgiu.kz,Нет
Караганда,Темиртау,33,Государственный,Университет,kgiu@mail.ru,kgiu.kz,Нет
Кызылорда,Кызылординский государственный университет имени Коркыт Ата,34,Государственный,Университет,korkyt_ksu@mail.ru,korkyt.kz,Есть
Кокшетау,Кокшетауский государственный университет имени Ш. Уалиханова,35,Государственный,Университет,mail@kgu.kz,kgu.kz,Нет
Костанай,Костанайский государственный университет имени А. Байтурсынова,36,Государственный,Университет,info@ksu.edu.kz,ksu.edu.kz,Есть
Туркестан,Международный казахско-турецкий университет имени Х. А. Яссави,37,Государственный,Университет,rector@ayu.edu.kz,ayu.edu.kz,Нет
Павлодар,Павлодарский государственный университет имени С. Торайгырова,38,Государственный,Университет,pgu@psu.kz,psu.kz,Есть
Рудный,Рудненский индустриальный институт,39,Государственный,Институт,info@rii.kz,rii.kz,Нет
Петропавловск,Северо-Казахстанский государственный университет имени М. Козыбаева,40,Государственный,Университет,mail@nkzu.kz,nkzu.kz,Есть
Семей,Государственный университет имени Шакарима г.Семей,42,Государственный,Университет,semgu@bk.ru,semgu.kz,Нет
Тараз,Таразский государственный университет имени М.Дулати,43,Государственный,Университет,info@tarsu.kz,tarsu.kz,Есть
Шымкент,Южно-Казахстанский государственный университет имени М. О. Ауэзова,45,Государственный,Университет,canselyarya@mail.ru,ukgu.kz,Нет
Астана,Евразийский гуманитарный институт,47,Частный,Институт,eagi@list.ru,egi.kz,Нет
Алматы,Казахская академия труда и социальных отношений,48,Частный,Академия,kaz_atso@mail.ru,atso.kz,Нет
