
"city_name","university_name","university_code","university_category","university_type","university_email","university_site","military dep"
"Karaganda","Karaganda University ""Bolashak""","116.0","-","-","-","-","No"
"Aktobe","Aktobe State Regional University named after K.Zhubanov","5.0","State","University","info@arsu.kz","arsu.kz","No"
"Aktobe","Aktobe University S. Baisheva","416.0","Private","University","eduausb@mail.ru","vuzbaishev.kz","No"
"Arkalyk","Arkalyk State Pedagogical Institute named after I. Altynsarin","8.0","State","Institute","arkgpi@mail.ru","api.kz","No"
"Atyrau","Atyrau State University named after H. Dosmukhamedov","10.0","State","University","kense@asu.edu.kz","asu.edu.kz","Yes"
"Ust-Kamenogorsk","East Kazakhstan State University named after S. Amanzholov","11.0","State","University","kense@vkgu.kz","vkgu.kz","No"
"Astana","Eurasian Humanities Institute","47.0","Private","Institute","eagi@list.ru","egi.kz","No"
"Zhezkazgan","Zhezkazgan University named after O. A. Baikonurov","14.0","Stocked","University","univer_Zhez@mail.ru","zhezu.kz/","No"
"Taldykorgan","Zhetysu State University named after I. Zhansugurov","15.0","State","University","vuz@zhgu.edu.kz","zhgu.edu.kz","Yes"
"Uralsk","West Kazakhstan State University named after M. Utemisov","16.0","State","University","info@wksu.kz","-","No"
"Uralsk","West Kazakhstan Innovation and Technology University","198.0","State","University","-","wkitu@mail.ru","No"
"Families","Shakarim Semey State University","42.0","State","University","semgu@bk.ru","semgu.kz","No"
"Almaty","Kazakh State Women's Pedagogical University","25.0","State","University","info@kazmkpu.kz","kazmkpu.kz","No"
"Almaty","Kazakh National Pedagogical University named after Abay","7.0","National","University","rector@kaznpu.kz","kaznpu.kz","Yes"
"Shymkent","South Kazakhstan State University named after M.O. Auezov","45.0","State","University","canselyarya@mail.ru","ukgu.kz","No"
"Shymkent","Kazakhstan Engineering and Pedagogical University of Friendship of Peoples","202.0","Private","University","info@kipudn.kz","kipudn.kz","No"
"Karaganda","Karaganda State University named after E. A. Buketov","31.0","State","University","office@ksu.kz","ksu.kz","Yes"
"Ust-Kamenogorsk","Kazakh-American Free University","153.0","Private","University","kafu_ukg@mail.ru","kafu.kz","No"
"Kokshetau","Kokshetau State University named after Sh. Ualikhanov","35.0","State","University","mail@kgu.kz","kgu.kz","No"
"Kokshetau","Kokshetau University named after A. Myrzakhmetov","158.0","Private","University","kuam-kokchetau@mail.ru","kuam.kz","Yes"
"Kostanay","Kostanay State Pedagogical Institute","516.0","State","Institute","kgpi118@mail.ru","kspi.kz","No"
"Kyzylorda","Kyzylorda State University named after Korkyt Ata","34.0","State","University","korkyt_ksu@mail.ru","korkyt.kz","Yes"
"Aktau","Mangistau University of Humanities and Technology","195.0","private","University","mgtukz@mail.ru","mgtu-aktau.kz","No"
"Turkestan","International Kazakh-Turkish University named after H.A. Yassavi","37.0","State","University","rector@ayu.edu.kz","ayu.edu.kz","No"
"Pavlodar","Pavlodar State Pedagogical Institute","517.0","State","Institute","priempspi@gmail.com","ppi.kz","No"
"Shymkent","Regional Social Innovation University","203.0","Private","University","rsiu2012@mail.ru","rsiu.kz","No"
"Petropavlovsk","North Kazakhstan State University named after M. Kozybaev","40.0","State","University","mail@nkzu.kz","nkzu.kz","Yes"
"Taraz","Taraz State Pedagogical University","515.0","State","Institute","targpi@mail.ru","tarmpi.kz","No"
"Astana","Astana University","194.0","Private","University","astanauniver@mail.ru","cau.kz","No"
"Kyzylorda","University Bolashak","305.0","Private","University","bolashak_5@mail.ru","bolashak-edu.kz","No"
"Almaty","Central Asian University","96.0","Private","University","info@cau.kz","cau.kz","No"
"Shymkent","South Kazakhstan State Pedagogical Institute","196.0","State","Institute","okmpi@mail.ru","okmpi.kz","No"
"Shymkent","South Kazakhstan Pedagogical University","186.0","Private","University","ukpu_kaz@mail.ru","ukpu.kz","No"
"Karaganda","Academy ""Bolashak""","116.0","Private","Academy","ku_bolashak@mail.ru","kubolashak.kz","No"
"Aktobe","Aktobe State Regional University named after K.Zhubanov","5.0","State","University","info@arsu.kz","arsu.kz","No"
"Aktobe","Aktobe University S. Baisheva","416.0","Private","University","eduausb@mail.ru","vuzbaishev.kz","No"
"Arkalyk","Arkalyk State Pedagogical Institute named after I. Altynsarin","8.0","State","Institute","arkgpi@mail.ru","api.kz","No"
"Atyrau","Atyrau State University named after H. Dosmukhamedov","10.0","State","University","kense@asu.edu.kz","asu.edu.kz","Yes"
"Ust-Kamenogorsk","East Kazakhstan State University named after S. Amanzholov","11.0","State","University","kense@vkgu.kz","vkgu.kz","No"
"Astana","Eurasian Humanities Institute","47.0","Private","Institute","eagi@list.ru","egi.kz","No"
"Zhezkazgan","Zhezkazgan University named after O. A. Baikonurov","14.0","Stocked","University","univer_Zhez@mail.ru","zhezu.kz/","No"
"Taldykorgan","Zhetysu State University named after I. Zhansugurov","15.0","State","University","vuz@zhgu.edu.kz","zhgu.edu.kz","Yes"
"Uralsk","West Kazakhstan State University named after M. Utemisov","16.0","State","University","info@wksu.kz","-","No"
"Uralsk","West Kazakhstan Innovation and Technology University","198.0","State","University","-","wkitu@mail.ru","No"
"Pavlodar","Innovative Eurasian University","146.0","Private","University","referent@ineu.edu.kz","ineu.edu.kz","No"
"Families","Shakarim Semey State University","42.0","State","University","semgu@bk.ru","semgu.kz","No"
"Almaty","Kazakh State Women's Pedagogical University","25.0","State","University","info@kazmkpu.kz","kazmkpu.kz","No"
"Almaty","Kazakh National Pedagogical University named after Abay","7.0","National","University","rector@kaznpu.kz","kaznpu.kz","Yes"
"Almaty","Al-Farabi Kazakh National University","27.0","National","University","info@kaznu.kz","kaznu.kz","Yes"
"Almaty","Kazakh University of International Relations and World Languages ","23.0","Stocked","University","kazumo@ablaikhan.kz","ablaikhan.kz","Yes"
"Shymkent","Kazakhstan Engineering and Pedagogical University of Friendship of Peoples","202.0","Private","University","info@kipudn.kz","kipudn.kz","No"
"Kokshetau","Kokshetau State University named after Sh. Ualikhanov","35.0","State","University","mail@kgu.kz","kgu.kz","No"
"Kokshetau","Kokshetau University named after A. Myrzakhmetov","158.0","Private","University","kuam-kokchetau@mail.ru","kuam.kz","Yes"
"Kostanay","Kostanay State Pedagogical Institute","516.0","State","Institute","kgpi118@mail.ru","kspi.kz","No"
"Aktau","Mangistau University of Humanities and Technology","195.0","private","University","mgtukz@mail.ru","mgtu-aktau.kz","No"
"Shymkent","International University of Humanities and Technology","137.0","Stocked","University","mgtu-shymkent@mail.ru","hgtu.kz","No"
"Turkestan","International Kazakh-Turkish University named after H.A. Yassavi","37.0","State","University","rector@ayu.edu.kz","ayu.edu.kz","No"
"Pavlodar","Pavlodar State Pedagogical Institute","517.0","State","Institute","priempspi@gmail.com","ppi.kz","No"
"Pavlodar","Pavlodar State University named after S. Toraigyrov","38.0","State","University","pgu@psu.kz","psu.kz","Yes"
"Shymkent","Regional Social Innovation University","203.0","Private","University","rsiu2012@mail.ru","rsiu.kz","No"
"Taraz","Taraz State Pedagogical University","515.0","State","Institute","targpi@mail.ru","tarmpi.kz","No"
"Taraz","Taraz State University named after M. Dulati","43.0","State","University","info@tarsu.kz","tarsu.kz","Yes"
"Taraz","Taraz University of Humanities and Innovation","223.0","Private","University","Tigu_kz@mail.ru","tiqu.kz","Yes"
"Astana","Astana University","194.0","Private","University","astanauniver@mail.ru","cau.kz","No"
"Kyzylorda","University Bolashak","305.0","Private","University","bolashak_5@mail.ru","bolashak-edu.kz","No"
"Shymkent","Miras University","133.0","Private","University","info@miras.edu.kz","miras.edu.kz","No"
"Zhetisay","Syrdaria University","143.0","Private","University","sirdariya@mail.ru","sirdariya.kz","No"
"Almaty","University named after Suleiman Demirel","302.0","Private","University","info@sdu.edu.kz","sdu.edu.kz","No"
"Almaty","University of FRudnyign Languages ","419.0","Private","University","ydu2006@mail.ru","ydu.kz","No"
"Almaty","Central Asian University","96.0","Private","University","info@cau.kz","cau.kz","No"
"Karaganda","Central Kazakhstan Academy","197.0","Private","Academy","cka_kz@mail.ru","cka.kz","No"
"Shymkent","Shymkent University","414.0","Private","University","shimunivers@shym.kz","univershu.kz","No"
"Shymkent","South Kazakhstan State Pedagogical Institute","196.0","State","Institute","okmpi@mail.ru","okmpi.kz","No"
"Shymkent","South Kazakhstan State University named after M.O. Auezov","45.0","State","University","canselyarya@mail.ru","ukgu.kz","No"
"Shymkent","South Kazakhstan Humanitarian Institute named after M. Saparbayev","413.0","Private","Institute","ukgi2002@mail.ru","ukgi.kz/","No"
"Shymkent","South Kazakhstan Pedagogical University","186.0","Private","University","ukpu_kaz@mail.ru","ukpu.kz","No"
"Karaganda","Academy ""Bolashak""","116.0","Private","Academy","ku_bolashak@mail.ru","kubolashak.kz","No"
"Taldykorgan","Academy of Economics and Law named after O. A. Dzholdasbekov","90.0","Private","Academy","dzholdasbekov@rambler.ru","vuz.ucoz.kz","No"
"Aktobe","Aktobe State Regional University named after K.Zhubanov","5.0","State","University","info@arsu.kz","arsu.kz","No"
"Aktobe","Aktobe University S. Baisheva","416.0","Private","University","eduausb@mail.ru","vuzbaishev.kz","No"
"Arkalyk","Arkalyk State Pedagogical Institute named after I. Altynsarin","8.0","State","Institute","arkgpi@mail.ru","api.kz","No"
"Atyrau","Atyrau State University named after H. Dosmukhamedov","10.0","State","University","kense@asu.edu.kz","asu.edu.kz","Yes"
"Ust-Kamenogorsk","East Kazakhstan State University named after S. Amanzholov","11.0","State","University","kense@vkgu.kz","vkgu.kz","No"
"Astana","Eurasian Humanities Institute","47.0","Private","Institute","eagi@list.ru","egi.kz","No"
"Zhezkazgan","Zhezkazgan University named after O. A. Baikonurov","14.0","Stocked","University","univer_Zhez@mail.ru","zhezu.kz/","No"
"Taldykorgan","Zhetysu State University named after I. Zhansugurov","15.0","State","University","vuz@zhgu.edu.kz","zhgu.edu.kz","Yes"
"Uralsk","West Kazakhstan State University named after M. Utemisov","16.0","State","University","info@wksu.kz","-","No"
"Uralsk","West Kazakhstan Innovation and Technology University","198.0","State","University","-","wkitu@mail.ru","No"
"Pavlodar","Innovative Eurasian University","146.0","Private","University","referent@ineu.edu.kz","ineu.edu.kz","No"
"Families","Shakarim Semey State University","42.0","State","University","semgu@bk.ru","semgu.kz","No"
"Almaty","Kazakh State Women's Pedagogical University","25.0","State","University","info@kazmkpu.kz","kazmkpu.kz","No"
"Almaty","Kazakh National Pedagogical University named after Abay","7.0","National","University","rector@kaznpu.kz","kaznpu.kz","Yes"
"Almaty","Al-Farabi Kazakh National University","27.0","National","University","info@kaznu.kz","kaznu.kz","Yes"
"Shymkent","Kazakhstan Engineering and Pedagogical University of Friendship of Peoples","202.0","Private","University","info@kipudn.kz","kipudn.kz","No"
"Ust-Kamenogorsk","Kazakh-American Free University","153.0","Private","University","kafu_ukg@mail.ru","kafu.kz","No"
"Almaty","Caspian Public University","79.0","Private","University","cu@cu.edu.kz","cu.edu.kz/","No"
"Aktau","Caspian State University of Technology and Engineering named after S. Yesenov","3.0","State","University","ksu@kguti.kz","kguti.kz","Yes"
"Kokshetau","Kokshetau State University named after Sh. Ualikhanov","35.0","State","University","mail@kgu.kz","kgu.kz","No"
"Kostanay","Kostanay State Pedagogical Institute","516.0","State","Institute","kgpi118@mail.ru","kspi.kz","No"
"Kostanay","Kostanay socio-technical university named after Z. Aldamzhar","145.0","Private","University","pkkstu@mail.ru","kosstu.kz","No"
"Aktau","Mangistau University of Humanities and Technology","195.0","private","University","mgtukz@mail.ru","mgtu-aktau.kz","No"
"Shymkent","International University of Humanities and Technology","137.0","Stocked","University","mgtu-shymkent@mail.ru","hgtu.kz","No"
"Turkestan","International Kazakh-Turkish University named after H.A. Yassavi","37.0","State","University","rector@ayu.edu.kz","ayu.edu.kz","No"
"Pavlodar","Pavlodar State Pedagogical Institute","517.0","State","Institute","priempspi@gmail.com","ppi.kz","No"
"Pavlodar","Pavlodar State University named after S. Toraigyrov","38.0","State","University","pgu@psu.kz","psu.kz","Yes"
"Shymkent","Regional Social Innovation University","203.0","Private","University","rsiu2012@mail.ru","rsiu.kz","No"
